"Depth (m)"	"5 keV/R"	"1 uR"	"1 mR"	"10 mR"	"20 mR"	"30 mR"	"40 mR"	"50 mR"	"75 mR"	"100 mR"
2.43E-04	2.05E+08	2.05E+02	2.05E+05	2.05E+06	4.10E+06	6.16E+06	8.21E+06	1.03E+07	15393225	2.05E+07
2.44E-04	2.01E+08	2.01E+02	2.01E+05	2.01E+06	4.01E+06	6.02E+06	8.02E+06	1.00E+07	15045675	2.01E+07
2.44E-04	1.96E+08	1.96E+02	1.96E+05	1.96E+06	3.92E+06	5.88E+06	7.84E+06	9.80E+06	14706000	1.96E+07
2.44E-04	1.92E+08	1.92E+02	1.92E+05	1.92E+06	3.83E+06	5.75E+06	7.67E+06	9.58E+06	14373975	1.92E+07
2.45E-04	1.87E+08	1.87E+02	1.87E+05	1.87E+06	3.75E+06	5.62E+06	7.49E+06	9.37E+06	14049450	1.87E+07
2.45E-04	1.83E+08	1.83E+02	1.83E+05	1.83E+06	3.66E+06	5.49E+06	7.32E+06	9.15E+06	13732275	1.83E+07
2.46E-04	1.79E+08	1.79E+02	1.79E+05	1.79E+06	3.58E+06	5.37E+06	7.16E+06	8.95E+06	13422225	1.79E+07
2.46E-04	1.75E+08	1.75E+02	1.75E+05	1.75E+06	3.50E+06	5.25E+06	7.00E+06	8.75E+06	13119225	1.75E+07
2.46E-04	1.71E+08	1.71E+02	1.71E+05	1.71E+06	3.42E+06	5.13E+06	6.84E+06	8.55E+06	12822975	1.71E+07
2.47E-04	1.67E+08	1.67E+02	1.67E+05	1.67E+06	3.34E+06	5.01E+06	6.68E+06	8.36E+06	12533475	1.67E+07
2.47E-04	1.63E+08	1.63E+02	1.63E+05	1.63E+06	3.27E+06	4.90E+06	6.53E+06	8.17E+06	12250500	1.63E+07
2.48E-04	1.60E+08	1.60E+02	1.60E+05	1.60E+06	3.19E+06	4.79E+06	6.39E+06	7.98E+06	11973975	1.60E+07
2.48E-04	1.56E+08	1.56E+02	1.56E+05	1.56E+06	3.12E+06	4.68E+06	6.24E+06	7.80E+06	11703600	1.56E+07
2.48E-04	1.53E+08	1.53E+02	1.53E+05	1.53E+06	3.05E+06	4.58E+06	6.10E+06	7.63E+06	11439375	1.53E+07
2.49E-04	1.49E+08	1.49E+02	1.49E+05	1.49E+06	2.98E+06	4.47E+06	5.96E+06	7.45E+06	11181150	1.49E+07
2.49E-04	1.46E+08	1.46E+02	1.46E+05	1.46E+06	2.91E+06	4.37E+06	5.83E+06	7.29E+06	10928700	1.46E+07
2.50E-04	1.42E+08	1.42E+02	1.42E+05	1.42E+06	2.85E+06	4.27E+06	5.70E+06	7.12E+06	10681950	1.42E+07
2.50E-04	1.39E+08	1.39E+02	1.39E+05	1.39E+06	2.78E+06	4.18E+06	5.57E+06	6.96E+06	10440750	1.39E+07
2.50E-04	1.36E+08	1.36E+02	1.36E+05	1.36E+06	2.72E+06	4.08E+06	5.44E+06	6.80E+06	10205025	1.36E+07
2.51E-04	1.33E+08	1.33E+02	1.33E+05	1.33E+06	2.66E+06	3.99E+06	5.32E+06	6.65E+06	9974625	1.33E+07
2.51E-04	1.30E+08	1.30E+02	1.30E+05	1.30E+06	2.60E+06	3.90E+06	5.20E+06	6.50E+06	9749475	1.30E+07
2.52E-04	1.27E+08	1.27E+02	1.27E+05	1.27E+06	2.54E+06	3.81E+06	5.08E+06	6.35E+06	9529350	1.27E+07
2.52E-04	1.24E+08	1.24E+02	1.24E+05	1.24E+06	2.48E+06	3.73E+06	4.97E+06	6.21E+06	9314175	1.24E+07
2.52E-04	1.21E+08	1.21E+02	1.21E+05	1.21E+06	2.43E+06	3.64E+06	4.86E+06	6.07E+06	9103950	1.21E+07
2.53E-04	1.19E+08	1.19E+02	1.19E+05	1.19E+06	2.37E+06	3.56E+06	4.75E+06	5.93E+06	8898375	1.19E+07
2.53E-04	1.16E+08	1.16E+02	1.16E+05	1.16E+06	2.32E+06	3.48E+06	4.64E+06	5.80E+06	8697450	1.16E+07
2.54E-04	1.13E+08	1.13E+02	1.13E+05	1.13E+06	2.27E+06	3.40E+06	4.53E+06	5.67E+06	8501100	1.13E+07
2.54E-04	1.11E+08	1.11E+02	1.11E+05	1.11E+06	2.22E+06	3.32E+06	4.43E+06	5.54E+06	8309175	1.11E+07
2.54E-04	1.08E+08	1.08E+02	1.08E+05	1.08E+06	2.17E+06	3.25E+06	4.33E+06	5.41E+06	8121600	1.08E+07
2.55E-04	1.06E+08	1.06E+02	1.06E+05	1.06E+06	2.12E+06	3.18E+06	4.23E+06	5.29E+06	7938225	1.06E+07
2.55E-04	1.03E+08	1.03E+02	1.03E+05	1.03E+06	2.07E+06	3.10E+06	4.14E+06	5.17E+06	7759050	1.03E+07
2.56E-04	1.01E+08	1.01E+02	1.01E+05	1.01E+06	2.02E+06	3.03E+06	4.04E+06	5.06E+06	7583850	1.01E+07
2.56E-04	9.88E+07	9.88E+01	9.88E+04	9.88E+05	1.98E+06	2.97E+06	3.95E+06	4.94E+06	7412625	9.88E+06
2.56E-04	9.66E+07	9.66E+01	9.66E+04	9.66E+05	1.93E+06	2.90E+06	3.86E+06	4.83E+06	7245270	9.66E+06
2.57E-04	9.44E+07	9.44E+01	9.44E+04	9.44E+05	1.89E+06	2.83E+06	3.78E+06	4.72E+06	7081695	9.44E+06
2.57E-04	9.23E+07	9.23E+01	9.23E+04	9.23E+05	1.85E+06	2.77E+06	3.69E+06	4.61E+06	6921810	9.23E+06
2.58E-04	9.02E+07	9.02E+01	9.02E+04	9.02E+05	1.80E+06	2.71E+06	3.61E+06	4.51E+06	6765540	9.02E+06
2.58E-04	8.82E+07	8.82E+01	8.82E+04	8.82E+05	1.76E+06	2.65E+06	3.53E+06	4.41E+06	6612795	8.82E+06
2.58E-04	8.62E+07	8.62E+01	8.62E+04	8.62E+05	1.72E+06	2.59E+06	3.45E+06	4.31E+06	6463492.5	8.62E+06
2.59E-04	8.42E+07	8.42E+01	8.42E+04	8.42E+05	1.68E+06	2.53E+06	3.37E+06	4.21E+06	6317572.5	8.42E+06
2.59E-04	8.23E+07	8.23E+01	8.23E+04	8.23E+05	1.65E+06	2.47E+06	3.29E+06	4.12E+06	6174937.5	8.23E+06
2.60E-04	8.05E+07	8.05E+01	8.05E+04	8.05E+05	1.61E+06	2.41E+06	3.22E+06	4.02E+06	6035527.5	8.05E+06
2.60E-04	7.87E+07	7.87E+01	7.87E+04	7.87E+05	1.57E+06	2.36E+06	3.15E+06	3.93E+06	5899260	7.87E+06
2.60E-04	7.69E+07	7.69E+01	7.69E+04	7.69E+05	1.54E+06	2.31E+06	3.08E+06	3.84E+06	5766075	7.69E+06
2.61E-04	7.51E+07	7.51E+01	7.51E+04	7.51E+05	1.50E+06	2.25E+06	3.01E+06	3.76E+06	5635897.5	7.51E+06
2.61E-04	7.34E+07	7.34E+01	7.34E+04	7.34E+05	1.47E+06	2.20E+06	2.94E+06	3.67E+06	5508652.5	7.34E+06
