"061837 PM - RawData-003 - C:\Users\Ian\06132008\blocking-sampl-area-2_061426 PM.spc"
"Wavelength nm.","T%"
467.50,87.062
468.00,87.045
468.50,87.021
469.00,87.000
469.50,86.984
470.00,86.943
470.50,86.919
471.00,86.914
471.50,86.862
472.00,86.812
472.50,86.765
473.00,86.748
473.50,86.743
474.00,86.716
474.50,86.687
475.00,86.655
475.50,86.609
476.00,86.572
476.50,86.534
477.00,86.497
477.50,86.470
478.00,86.449
478.50,86.426
479.00,86.377
479.50,86.342
480.00,86.328
480.50,86.313
481.00,86.279
481.50,86.256
482.00,86.221
482.50,86.185
483.00,86.197
483.50,86.162
484.00,86.095
484.50,86.035
485.00,85.982
485.50,85.956
486.00,85.963
486.50,85.938
487.00,85.901
487.50,85.890
488.00,85.857
488.50,85.809
489.00,85.797
489.50,85.800
490.00,85.727
490.50,85.667
491.00,85.605
491.50,85.561
492.00,85.567
492.50,85.539
493.00,85.544
493.50,85.551
494.00,85.490
494.50,85.451
495.00,85.422
495.50,85.382
496.00,85.344
496.50,85.321
497.00,85.323
497.50,85.295
498.00,85.262
498.50,85.222
499.00,85.162
499.50,85.118
500.00,85.118
500.50,85.104
501.00,85.085
501.50,85.068
502.00,85.033
502.50,85.011
503.00,84.959
503.50,84.903
504.00,84.888
504.50,84.875
505.00,84.831
505.50,84.804
506.00,84.799
506.50,84.766
507.00,84.743
507.50,84.729
508.00,84.718
508.50,84.686
509.00,84.654
509.50,84.634
510.00,84.622
510.50,84.610
511.00,84.592
511.50,84.570
512.00,84.541
512.50,84.540
513.00,84.532
513.50,84.512
514.00,84.473
514.50,84.427
515.00,84.416
515.50,84.393
516.00,84.390
516.50,84.381
517.00,84.351
517.50,84.337
518.00,84.334
518.50,84.354
519.00,84.299
519.50,84.248
520.00,84.229
520.50,84.227
521.00,84.241
521.50,84.225
522.00,84.215
522.50,84.183
523.00,84.175
523.50,84.174
524.00,84.131
524.50,84.154
525.00,84.154
525.50,84.099
526.00,84.079
526.50,84.055
527.00,84.053
527.50,84.027
528.00,84.007
528.50,83.987
529.00,83.954
529.50,83.986
530.00,84.004
530.50,83.981
531.00,83.936
531.50,83.887
532.00,83.876
532.50,83.882
533.00,83.891
533.50,83.891
534.00,83.867
534.50,83.849
535.00,83.838
535.50,83.820
536.00,83.817
536.50,83.826
537.00,83.813
537.50,83.812
538.00,83.810
538.50,83.778
539.00,83.731
539.50,83.710
540.00,83.737
540.50,83.784
541.00,83.786
541.50,83.766
542.00,83.743
542.50,83.723
543.00,83.720
543.50,83.705
544.00,83.687
544.50,83.662
545.00,83.652
545.50,83.669
546.00,83.659
546.50,83.635
547.00,83.632
547.50,83.621
548.00,83.603
548.50,83.607
549.00,83.609
549.50,83.597
550.00,83.589
550.50,83.609
551.00,83.603
551.50,83.569
