 # PENELOPE >>>  Positron cross sections (xs).
 #
 # NOTE: The xs for inner shell ionization (isi) is listed only for
 #       completeness. The xs for inelastic collisions (in) has been
 #       calculated by considering all inelastic events, including isi.
 #       The bremss (br) xs is for emission of photons with W >10 eV.
 #
 #   Energy        xs_el        xs_in        xs_br        xs_an       xs_tot       xs_isi
 #    (keV)       (cm**2)      (cm**2)      (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #-------------------------------------------------------------------------------------------
   5.90751E+02  9.82468E-19  9.07780E-19  2.27623E-23  2.86473E-24  1.89027E-18  1.83229E-20
   6.42825E+02  9.59263E-19  8.92154E-19  2.27938E-23  2.75979E-24  1.85144E-18  1.80524E-20
   6.99490E+02  9.38340E-19  8.78463E-19  2.28656E-23  2.65634E-24  1.81683E-18  1.78217E-20
   7.61150E+02  9.19511E-19  8.66564E-19  2.29752E-23  2.55435E-24  1.78610E-18  1.76308E-20
   8.28245E+02  9.02536E-19  8.56324E-19  2.31204E-23  2.45382E-24  1.75889E-18  1.74722E-20
   9.01255E+02  8.87309E-19  8.47613E-19  2.32986E-23  2.35480E-24  1.73495E-18  1.73441E-20
   9.80700E+02  8.73812E-19  8.40310E-19  2.35069E-23  2.25734E-24  1.71415E-18  1.72502E-20
   1.06715E+03  8.61701E-19  8.34299E-19  2.37425E-23  2.16153E-24  1.69603E-18  1.71820E-20
   1.16122E+03  8.50814E-19  8.29469E-19  2.40041E-23  2.06748E-24  1.68031E-18  1.71371E-20
   1.26358E+03  8.41121E-19  8.25713E-19  2.42911E-23  1.97530E-24  1.66686E-18  1.71152E-20
   1.37496E+03  8.32568E-19  8.22930E-19  2.46033E-23  1.88512E-24  1.65552E-18  1.71162E-20
   1.49616E+03  8.25031E-19  8.21019E-19  2.49402E-23  1.79706E-24  1.64608E-18  1.71382E-20
   1.62805E+03  8.18387E-19  8.19884E-19  2.53005E-23  1.71126E-24  1.63830E-18  1.71791E-20
   1.77156E+03  8.12539E-19  8.19433E-19  2.56766E-23  1.62783E-24  1.63200E-18  1.72373E-20
   1.92773E+03  8.07403E-19  8.19572E-19  2.60587E-23  1.54688E-24  1.62700E-18  1.73114E-20
   2.09765E+03  8.02905E-19  8.20212E-19  2.64373E-23  1.46850E-24  1.62315E-18  1.74012E-20
   2.28256E+03  7.98972E-19  8.21269E-19  2.68108E-23  1.39279E-24  1.62027E-18  1.75005E-20
   2.48377E+03  7.95526E-19  8.22658E-19  2.71856E-23  1.31980E-24  1.61821E-18  1.76135E-20
   2.70271E+03  7.92496E-19  8.24305E-19  2.75686E-23  1.24958E-24  1.61683E-18  1.77384E-20
   2.94096E+03  7.89832E-19  8.26140E-19  2.79674E-23  1.18216E-24  1.61600E-18  1.78729E-20
   3.20020E+03  7.87489E-19  8.28104E-19  2.83886E-23  1.11755E-24  1.61562E-18  1.80183E-20
   3.48230E+03  7.85436E-19  8.30147E-19  2.88273E-23  1.05575E-24  1.61561E-18  1.81676E-20
   3.78926E+03  7.83639E-19  8.32229E-19  2.92719E-23  9.96716E-25  1.61590E-18  1.83279E-20
   4.12328E+03  7.82043E-19  8.34321E-19  2.97103E-23  9.40429E-25  1.61639E-18  1.84923E-20
   4.48675E+03  7.80617E-19  8.36401E-19  3.01372E-23  8.86833E-25  1.61705E-18  1.86639E-20
   4.88225E+03  7.79367E-19  8.38452E-19  3.05582E-23  8.35868E-25  1.61785E-18  1.88415E-20
   5.31262E+03  7.78269E-19  8.40466E-19  3.09792E-23  7.87463E-25  1.61877E-18  1.90245E-20
   5.78093E+03  7.77302E-19  8.42437E-19  3.13985E-23  7.41540E-25  1.61977E-18  1.92107E-20
   6.29051E+03  7.76453E-19  8.44362E-19  3.18095E-23  6.98015E-25  1.62085E-18  1.94008E-20
   6.84502E+03  7.75717E-19  8.46241E-19  3.22095E-23  6.56800E-25  1.62199E-18  1.95946E-20
   7.44841E+03  7.75092E-19  8.48074E-19  3.25996E-23  6.17804E-25  1.62320E-18  1.97918E-20
   8.10498E+03  7.74567E-19  8.49863E-19  3.29808E-23  5.80934E-25  1.62446E-18  1.99917E-20
