 # PENELOPE >>>  Electron cross sections (xs).
 #
 # NOTE: The xs for inner shell ionization (isi) is listed only for
 #       completeness. The xs for inelastic collisions (in) has been
 #       calculated by considering all inelastic events, including isi.
 #       The bremss (br) xs is for emission of photons with W >10 eV.
 #
 #   Energy        xs_el        xs_in        xs_br       xs_tot       xs_isi
 #    (keV)       (cm**2)      (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #------------------------------------------------------------------------------
   4.98916E+02  1.03924E-18  9.45495E-19  2.71914E-23  1.98476E-18  1.90204E-20
   5.42895E+02  1.01070E-18  9.25534E-19  2.68934E-23  1.93626E-18  1.86640E-20
   5.90751E+02  9.84855E-19  9.07821E-19  2.66590E-23  1.89270E-18  1.83525E-20
   6.42825E+02  9.61494E-19  8.92194E-19  2.64847E-23  1.85371E-18  1.80805E-20
   6.99490E+02  9.40423E-19  8.78502E-19  2.63664E-23  1.81895E-18  1.78482E-20
   7.61150E+02  9.21459E-19  8.66602E-19  2.63001E-23  1.78809E-18  1.76559E-20
   8.28245E+02  9.04355E-19  8.56361E-19  2.62819E-23  1.76074E-18  1.74959E-20
   9.01255E+02  8.89008E-19  8.47649E-19  2.63078E-23  1.73668E-18  1.73664E-20
   9.80700E+02  8.75399E-19  8.40344E-19  2.63737E-23  1.71577E-18  1.72713E-20
   1.06715E+03  8.63182E-19  8.34332E-19  2.64756E-23  1.69754E-18  1.72018E-20
   1.16122E+03  8.52196E-19  8.29500E-19  2.66113E-23  1.68172E-18  1.71558E-20
   1.26358E+03  8.42409E-19  8.25743E-19  2.67798E-23  1.66818E-18  1.71327E-20
   1.37496E+03  8.33769E-19  8.22958E-19  2.69800E-23  1.65675E-18  1.71328E-20
   1.49616E+03  8.26151E-19  8.21046E-19  2.72111E-23  1.64722E-18  1.71538E-20
   1.62805E+03  8.19431E-19  8.19910E-19  2.74711E-23  1.63937E-18  1.71937E-20
   1.77156E+03  8.13511E-19  8.19457E-19  2.77513E-23  1.63300E-18  1.72511E-20
   1.92773E+03  8.08308E-19  8.19595E-19  2.80410E-23  1.62793E-18  1.73243E-20
   2.09765E+03  8.03748E-19  8.20234E-19  2.83299E-23  1.62401E-18  1.74133E-20
   2.28256E+03  7.99756E-19  8.21289E-19  2.86162E-23  1.62107E-18  1.75118E-20
   2.48377E+03  7.96255E-19  8.22678E-19  2.89068E-23  1.61896E-18  1.76241E-20
   2.70271E+03  7.93173E-19  8.24323E-19  2.92089E-23  1.61753E-18  1.77483E-20
   2.94096E+03  7.90460E-19  8.26157E-19  2.95303E-23  1.61665E-18  1.78822E-20
   3.20020E+03  7.88072E-19  8.28120E-19  2.98779E-23  1.61622E-18  1.80270E-20
   3.48230E+03  7.85976E-19  8.30162E-19  3.02461E-23  1.61617E-18  1.81756E-20
