 # PENELOPE >>>  Positron mean free paths (mfp).
 #
 # NOTE: The xs for inner shell ionization (isi) is listed only for
 #       completeness. The xs for inelastic collisions (in) has been
 #       calculated by considering all inelastic events, including isi.
 #       The bremss (br) xs is for emission of photons with W >10 eV.
 #
 #   Energy       mfp_el       mfp_in       mfp_br       mfp_an       mfp_tot      mfp_isi
 #    (keV)        (cm)         (cm)         (cm)         (cm)         (cm)         (cm)
 #-------------------------------------------------------------------------------------------
   1.43583E+01  1.25959E-06  1.72538E-06  2.12153E-01  1.18913E+00  7.28069E-07  9.59251E-05
   1.56240E+01  1.35740E-06  1.85334E-06  2.18860E-01  1.23831E+00  7.83530E-07  1.02475E-04
   1.70013E+01  1.46294E-06  1.99043E-06  2.25546E-01  1.28934E+00  8.43195E-07  1.09488E-04
   1.84999E+01  1.57676E-06  2.13721E-06  2.32546E-01  1.34228E+00  9.07345E-07  1.16991E-04
   2.01307E+01  1.69945E-06  2.29427E-06  2.40288E-01  1.39717E+00  9.76275E-07  1.25011E-04
   2.19052E+01  1.83160E-06  2.46221E-06  2.49142E-01  1.45406E+00  1.05029E-06  1.33582E-04
   2.38362E+01  1.97384E-06  2.64167E-06  2.59022E-01  1.51299E+00  1.12971E-06  1.42730E-04
   2.59373E+01  2.12681E-06  2.83327E-06  2.69694E-01  1.57401E+00  1.21486E-06  1.52483E-04
   2.82237E+01  2.29118E-06  3.03765E-06  2.80859E-01  1.63715E+00  1.30606E-06  1.62879E-04
   3.07116E+01  2.46762E-06  3.25547E-06  2.92149E-01  1.70245E+00  1.40365E-06  1.73958E-04
   3.34188E+01  2.65682E-06  3.48735E-06  3.03352E-01  1.76995E+00  1.50797E-06  1.85728E-04
   3.63646E+01  2.85946E-06  3.73394E-06  3.14689E-01  1.83968E+00  1.61934E-06  1.98242E-04
   3.95702E+01  3.07623E-06  3.99584E-06  3.26484E-01  1.91167E+00  1.73811E-06  2.11531E-04
   4.30583E+01  3.30781E-06  4.27363E-06  3.39035E-01  1.98594E+00  1.86459E-06  2.25584E-04
   4.68538E+01  3.55483E-06  4.56786E-06  3.52035E-01  2.06251E+00  1.99907E-06  2.40471E-04
   5.09840E+01  3.81792E-06  4.87902E-06  3.64849E-01  2.14141E+00  2.14185E-06  2.56185E-04
   5.54782E+01  4.09766E-06  5.20751E-06  3.77223E-01  2.22264E+00  2.29318E-06  2.72702E-04
   6.03686E+01  4.39456E-06  5.55370E-06  3.89997E-01  2.30623E+00  2.45328E-06  2.90250E-04
   6.56901E+01  4.70905E-06  5.91780E-06  4.04029E-01  2.39219E+00  2.62232E-06  3.08502E-04
   7.14806E+01  5.04150E-06  6.29995E-06  4.19192E-01  2.48052E+00  2.80043E-06  3.27777E-04
   7.77816E+01  5.39215E-06  6.70014E-06  4.35067E-01  2.57124E+00  2.98768E-06  3.47862E-04
   8.46381E+01  5.76110E-06  7.11819E-06  4.51169E-01  2.66436E+00  3.18405E-06  3.68808E-04
   9.20989E+01  6.14835E-06  7.55378E-06  4.67353E-01  2.75991E+00  3.38946E-06  3.90660E-04
   1.00217E+02  6.55374E-06  8.00636E-06  4.83757E-01  2.85791E+00  3.60376E-06  4.13335E-04
   1.09051E+02  6.97689E-06  8.47522E-06  5.00499E-01  2.95840E+00  3.82667E-06  4.36275E-04
   1.18664E+02  7.41723E-06  8.95937E-06  5.17511E-01  3.06142E+00  4.05781E-06  4.60487E-04
   1.29125E+02  7.87400E-06  9.45764E-06  5.34664E-01  3.16704E+00  4.29670E-06  4.85397E-04
   1.40507E+02  8.34626E-06  9.96858E-06  5.51812E-01  3.27534E+00  4.54274E-06  5.10568E-04
   1.52892E+02  8.83294E-06  1.04905E-05  5.68789E-01  3.38643E+00  4.79527E-06  5.36744E-04
   1.66370E+02  9.33255E-06  1.10215E-05  5.85445E-01  3.50044E+00  5.05342E-06  5.62917E-04
   1.81035E+02  9.84283E-06  1.15594E-05  6.01687E-01  3.61754E+00  5.31607E-06  5.89207E-04
   1.96994E+02  1.03629E-05  1.21017E-05  6.17437E-01  3.73793E+00  5.58244E-06  6.15900E-04
   2.14358E+02  1.08932E-05  1.26460E-05  6.32614E-01  3.86188E+00  5.85209E-06  6.42357E-04
   2.33254E+02  1.14276E-05  1.31894E-05  6.47110E-01  3.98966E+00  6.12266E-06  6.68749E-04
   2.53815E+02  1.19561E-05  1.37290E-05  6.60803E-01  4.12164E+00  6.39060E-06  6.95081E-04
   2.76189E+02  1.24735E-05  1.42619E-05  6.73574E-01  4.25821E+00  6.65388E-06  7.20685E-04
   3.00535E+02  1.29914E-05  1.47851E-05  6.85309E-01  4.39984E+00  6.91507E-06  7.45751E-04
   3.27027E+02  1.35197E-05  1.52954E-05  6.95891E-01  4.54708E+00  7.17634E-06  7.69914E-04
   3.55855E+02  1.40470E-05  1.57901E-05  7.05178E-01  4.70052E+00  7.43372E-06  7.93169E-04
   3.87223E+02  1.45606E-05  1.62662E-05  7.13029E-01  4.86084E+00  7.68301E-06  8.15338E-04
   4.21357E+02  1.50608E-05  1.67213E-05  7.19321E-01  5.02880E+00  7.92374E-06  8.36426E-04
   4.58499E+02  1.55470E-05  1.71528E-05  7.24031E-01  5.20524E+00  8.15515E-06  8.55919E-04
   4.98916E+02  1.60164E-05  1.75588E-05  7.27225E-01  5.39106E+00  8.37599E-06  8.74328E-04
   5.42895E+02  1.64670E-05  1.79375E-05  7.28975E-01  5.58728E+00  8.58531E-06  8.90965E-04
   5.90751E+02  1.68973E-05  1.82876E-05  7.29323E-01  5.79498E+00  8.78237E-06  9.06029E-04
   6.42825E+02  1.73061E-05  1.86079E-05  7.28315E-01  6.01534E+00  8.96656E-06  9.19603E-04
   6.99490E+02  1.76920E-05  1.88979E-05  7.26030E-01  6.24961E+00  9.13740E-06  9.31508E-04
   7.61150E+02  1.80542E-05  1.91574E-05  7.22565E-01  6.49915E+00  9.29459E-06  9.41596E-04
   8.28245E+02  1.83938E-05  1.93864E-05  7.18027E-01  6.76540E+00  9.43841E-06  9.50143E-04
   9.01255E+02  1.87095E-05  1.95857E-05  7.12535E-01  7.04990E+00  9.56863E-06  9.57159E-04
   9.80700E+02  1.89985E-05  1.97559E-05  7.06221E-01  7.35428E+00  9.68474E-06  9.62372E-04
   1.06715E+03  1.92655E-05  1.98982E-05  6.99213E-01  7.68025E+00  9.78823E-06  9.66191E-04
