 # PENELOPE >>>  Electron mean free paths (mfp).
 #
 # NOTE: The xs for inner shell ionization (isi) is listed only for
 #       completeness. The xs for inelastic collisions (in) has been
 #       calculated by considering all inelastic events, including isi.
 #       The bremss (br) xs is for emission of photons with W >10 eV.
 #
 #   Energy       mfp_el       mfp_in       mfp_br      mfp_tot      mfp_isi
 #    (keV)        (cm)         (cm)         (cm)         (cm)         (cm)
 #------------------------------------------------------------------------------
   1.13634E+04  2.14673E-05  1.93794E-05  4.73548E-01  1.01848E-05  7.97460E-04
   1.23650E+04  2.14741E-05  1.93431E-05  4.69528E-01  1.01763E-05  7.89479E-04
   1.34550E+04  2.14791E-05  1.93076E-05  4.65653E-01  1.01676E-05  7.81628E-04
   1.46411E+04  2.14825E-05  1.92730E-05  4.61919E-01  1.01587E-05  7.73862E-04
   1.59317E+04  2.14841E-05  1.92391E-05  4.58319E-01  1.01496E-05  7.66219E-04
   1.73360E+04  2.14847E-05  1.92060E-05  4.54840E-01  1.01406E-05  7.58671E-04
   1.88642E+04  2.14850E-05  1.91737E-05  4.51460E-01  1.01316E-05  7.51261E-04
   2.05271E+04  2.14845E-05  1.91422E-05  4.48160E-01  1.01227E-05  7.43960E-04
   2.23365E+04  2.14831E-05  1.91115E-05  4.44928E-01  1.01138E-05  7.36796E-04
   2.43055E+04  2.14811E-05  1.90817E-05  4.41766E-01  1.01050E-05  7.29700E-04
   2.64480E+04  2.14790E-05  1.90528E-05  4.38677E-01  1.00964E-05  7.22748E-04
   2.87794E+04  2.14772E-05  1.90249E-05  4.35663E-01  1.00882E-05  7.15899E-04
   3.13163E+04  2.14758E-05  1.89981E-05  4.32727E-01  1.00803E-05  7.09165E-04
   3.40768E+04  2.14750E-05  1.89725E-05  4.29868E-01  1.00729E-05  7.02543E-04
   3.70807E+04  2.14751E-05  1.89481E-05  4.27082E-01  1.00661E-05  6.96039E-04
   4.03493E+04  2.14763E-05  1.89250E-05  4.24364E-01  1.00598E-05  6.89628E-04
   4.39061E+04  2.14785E-05  1.89032E-05  4.21716E-01  1.00541E-05  6.83342E-04
   4.77764E+04  2.14814E-05  1.88829E-05  4.19153E-01  1.00490E-05  6.77157E-04
   5.19879E+04  2.14847E-05  1.88640E-05  4.16692E-01  1.00444E-05  6.71083E-04
   5.65706E+04  2.14884E-05  1.88466E-05  4.14335E-01  1.00403E-05  6.65109E-04
   6.15573E+04  2.14920E-05  1.88307E-05  4.12065E-01  1.00365E-05  6.59216E-04
   6.69835E+04  2.14951E-05  1.88163E-05  4.09863E-01  1.00331E-05  6.53438E-04
   7.28881E+04  2.14983E-05  1.88033E-05  4.07709E-01  1.00301E-05  6.47748E-04
   7.93132E+04  2.15013E-05  1.87917E-05  4.05582E-01  1.00274E-05  6.42148E-04
