 # PENELOPE >>>  Positron mean free paths and range.
 #
 #   Energy       mfp_tot     1st tmfp       range
 #    (keV)      (g/cm**2)    (g/cm**2)    (g/cm**2)
 #----------------------------------------------------
   2.28256E+03  2.76526E-05  1.46979E+00  1.43799E+00
   2.48377E+03  2.76877E-05  1.68134E+00  1.57250E+00
   2.70271E+03  2.77114E-05  1.92510E+00  1.71767E+00
   2.94096E+03  2.77256E-05  2.20627E+00  1.87425E+00
   3.20020E+03  2.77321E-05  2.53088E+00  2.04303E+00
   3.48230E+03  2.77323E-05  2.90602E+00  2.22486E+00
   3.78926E+03  2.77274E-05  3.33991E+00  2.42067E+00
   4.12328E+03  2.77189E-05  3.84222E+00  2.63139E+00
   4.48675E+03  2.77077E-05  4.42425E+00  2.85806E+00
   4.88225E+03  2.76939E-05  5.09912E+00  3.10175E+00
   5.31262E+03  2.76783E-05  5.88215E+00  3.36358E+00
   5.78093E+03  2.76611E-05  6.79137E+00  3.64474E+00
   6.29051E+03  2.76427E-05  7.84775E+00  3.94643E+00
   6.84502E+03  2.76233E-05  9.07588E+00  4.26996E+00
   7.44841E+03  2.76027E-05  1.05045E+01  4.61662E+00
   8.10498E+03  2.75812E-05  1.21673E+01  4.98780E+00
   8.81943E+03  2.75591E-05  1.41036E+01  5.38487E+00
   9.59686E+03  2.75364E-05  1.63594E+01  5.80925E+00
   1.04428E+04  2.75137E-05  1.89888E+01  6.26238E+00
   1.13634E+04  2.74908E-05  2.20557E+01  6.74569E+00
   1.23650E+04  2.74676E-05  2.56343E+01  7.26062E+00
   1.34550E+04  2.74439E-05  2.98111E+01  7.80861E+00
   1.46411E+04  2.74197E-05  3.46883E+01  8.39106E+00
   1.59317E+04  2.73951E-05  4.03865E+01  9.00933E+00
   1.73360E+04  2.73704E-05  4.70470E+01  9.66475E+00
   1.88642E+04  2.73460E-05  5.48354E+01  1.03586E+01
   2.05271E+04  2.73218E-05  6.39465E+01  1.10919E+01
   2.23365E+04  2.72976E-05  7.46098E+01  1.18659E+01
   2.43055E+04  2.72738E-05  8.70970E+01  1.26815E+01
   2.64480E+04  2.72506E-05  1.01725E+02  1.35395E+01
   2.87794E+04  2.72282E-05  1.18870E+02  1.44406E+01
   3.13163E+04  2.72069E-05  1.38975E+02  1.53854E+01
   3.40768E+04  2.71869E-05  1.62564E+02  1.63744E+01
   3.70807E+04  2.71683E-05  1.90256E+02  1.74078E+01
   4.03493E+04  2.71513E-05  2.22787E+02  1.84857E+01
   4.39061E+04  2.71359E-05  2.61023E+02  1.96080E+01
   4.77764E+04  2.71220E-05  3.06000E+02  2.07743E+01
   5.19879E+04  2.71095E-05  3.58939E+02  2.19843E+01
   5.65706E+04  2.70983E-05  4.21294E+02  2.32375E+01
   6.15573E+04  2.70882E-05  4.94798E+02  2.45332E+01
   6.69835E+04  2.70789E-05  5.81500E+02  2.58703E+01
   7.28881E+04  2.70707E-05  6.83827E+02  2.72479E+01
   7.93132E+04  2.70635E-05  8.04722E+02  2.86647E+01
   8.63046E+04  2.70569E-05  9.47701E+02  3.01195E+01
   9.39123E+04  2.70510E-05  1.11622E+03  3.16113E+01
   1.02191E+05  2.70448E-05  1.31650E+03  3.31387E+01
   1.11199E+05  2.70314E-05  1.55558E+03  3.47001E+01
   1.21001E+05  2.70173E-05  1.83930E+03  3.62939E+01
   1.31667E+05  2.70090E-05  2.17334E+03  3.79185E+01
   1.43273E+05  2.70063E-05  2.56627E+03  3.95724E+01
   1.55903E+05  2.70045E-05  3.03087E+03  4.12539E+01
   1.69646E+05  2.70017E-05  3.58153E+03  4.29616E+01
   1.84600E+05  2.69993E-05  4.23321E+03  4.46940E+01
   2.00872E+05  2.69975E-05  5.00412E+03  4.64495E+01
   2.18579E+05  2.69959E-05  5.91649E+03  4.82269E+01
   2.37847E+05  2.69945E-05  6.99638E+03  5.00247E+01
   2.58813E+05  2.69932E-05  8.27447E+03  5.18417E+01
   2.81627E+05  2.69922E-05  9.78715E+03  5.36764E+01
   3.06453E+05  2.69914E-05  1.15776E+04  5.55278E+01
   3.33466E+05  2.69907E-05  1.36969E+04  5.73947E+01
   3.62861E+05  2.69900E-05  1.62054E+04  5.92760E+01
   3.94847E+05  2.69895E-05  1.91748E+04  6.11707E+01
   4.29653E+05  2.69891E-05  2.26899E+04  6.30778E+01
   4.67527E+05  2.69887E-05  2.68510E+04  6.49964E+01
   5.08739E+05  2.69884E-05  3.17768E+04  6.69253E+01
   5.53584E+05  2.69881E-05  3.76081E+04  6.88639E+01
   6.02383E+05  2.69879E-05  4.45114E+04  7.08111E+01
   6.55483E+05  2.69877E-05  5.26838E+04  7.27665E+01
   7.13263E+05  2.69875E-05  6.23589E+04  7.47297E+01
   7.76137E+05  2.69874E-05  7.38131E+04  7.67000E+01
   8.44553E+05  2.69872E-05  8.73739E+04  7.86769E+01
   9.19000E+05  2.69871E-05  1.03429E+05  8.06593E+01
   1.00001E+06  2.69871E-05  1.22437E+05  8.26476E+01
