 # PENELOPE >>>  Photon mean free paths (mfp).
 #
 #   Energy       mfp_Ra       mfp_Co       mfp_ph       mfp_pp       mfp_tot
 #    (keV)        (cm)         (cm)         (cm)         (cm)         (cm)
 #------------------------------------------------------------------------------
   4.00000E+03  4.18289E+04  1.33069E+01  1.28480E+05  1.17758E+02  1.19513E+01
   4.24264E+03  4.70571E+04  1.38259E+01  1.38645E+05  1.08195E+02  1.22551E+01
   4.50000E+03  5.29388E+04  1.43694E+01  1.49274E+05  9.97722E+01  1.25564E+01
   5.00000E+03  6.53560E+04  1.54122E+01  1.70292E+05  8.72559E+01  1.30949E+01
   6.00000E+03  9.41115E+04  1.74403E+01  2.12412E+05  7.07106E+01  1.39868E+01
   7.00000E+03  1.28096E+05  1.94076E+01  2.54744E+05  6.04278E+01  1.46872E+01
   8.00000E+03  1.67308E+05  2.13259E+01  2.97496E+05  5.34037E+01  1.52379E+01
   9.00000E+03  2.11749E+05  2.32040E+01  3.40190E+05  4.83192E+01  1.56741E+01
   1.00000E+04  2.61419E+05  2.50471E+01  3.83267E+05  4.44583E+01  1.60194E+01
   1.25000E+04  4.08467E+05  2.95267E+01  4.90653E+05  3.79466E+01  1.66044E+01
   1.50000E+04  5.88192E+05  3.38640E+01  5.98300E+05  3.38193E+01  1.69198E+01
   1.75000E+04  8.00596E+05  3.80863E+01  7.06685E+05  3.09528E+01  1.70747E+01
   2.00000E+04  1.04568E+06  4.22173E+01  8.14341E+05  2.88130E+01  1.71246E+01
   2.50000E+04  1.63386E+06  5.02540E+01  1.03151E+06  2.58439E+01  1.70665E+01
   3.00000E+04  2.35277E+06  5.80538E+01  1.24712E+06  2.38505E+01  1.69049E+01
   3.50000E+04  3.20238E+06  6.56656E+01  1.46351E+06  2.23987E+01  1.67014E+01
   4.00000E+04  4.18271E+06  7.31226E+01  1.68110E+06  2.12881E+01  1.64878E+01
   4.50000E+04  5.29373E+06  8.04522E+01  1.89832E+06  2.04171E+01  1.62842E+01
   5.00000E+04  6.53547E+06  8.76691E+01  2.11418E+06  1.97079E+01  1.60906E+01
   6.00000E+04  9.41110E+06  1.01818E+02  2.54728E+06  1.86115E+01  1.57351E+01
   7.00000E+04  1.28096E+07  1.15655E+02  2.98198E+06  1.78007E+01  1.54263E+01
   8.00000E+04  1.67308E+07  1.29231E+02  3.41779E+06  1.71740E+01  1.51593E+01
   9.00000E+04  2.11749E+07  1.42593E+02  3.85050E+06  1.66787E+01  1.49320E+01
   1.00000E+05  2.61419E+07  1.55763E+02  4.28362E+06  1.62739E+01  1.47344E+01
   1.25000E+05  4.08467E+07  1.88010E+02  5.36850E+06  1.55252E+01  1.43410E+01
   1.50000E+05  5.88192E+07  2.19466E+02  6.45582E+06  1.50031E+01  1.40431E+01
   1.75000E+05  8.00596E+07  2.50292E+02  7.54046E+06  1.46122E+01  1.38062E+01
   2.00000E+05  1.04568E+08  2.80595E+02  8.62286E+06  1.43078E+01  1.36136E+01
   2.50000E+05  1.63387E+08  3.39952E+02  1.07894E+07  1.38734E+01  1.33295E+01
   3.00000E+05  2.35277E+08  3.97954E+02  1.29577E+07  1.35713E+01  1.31237E+01
   3.50000E+05  3.20238E+08  4.54881E+02  1.51271E+07  1.33448E+01  1.29644E+01
   4.00000E+05  4.18271E+08  5.10910E+02  1.72979E+07  1.31684E+01  1.28375E+01
   4.50000E+05  5.29373E+08  5.66190E+02  1.94698E+07  1.30265E+01  1.27335E+01
   5.00000E+05  6.53547E+08  6.20804E+02  2.16426E+07  1.29117E+01  1.26486E+01
   6.00000E+05  9.41110E+08  7.28365E+02  2.59911E+07  1.27398E+01  1.25208E+01
   7.00000E+05  1.28096E+09  8.34073E+02  3.03323E+07  1.26103E+01  1.24225E+01
   8.00000E+05  1.67308E+09  9.38228E+02  3.46679E+07  1.25078E+01  1.23433E+01
   9.00000E+05  2.11749E+09  1.04107E+03  3.90038E+07  1.24254E+01  1.22789E+01
   1.00000E+06  2.61419E+09  1.14275E+03  4.33399E+07  1.23575E+01  1.22253E+01
