 # PENELOPE >>>  Positron stopping powers (stp).
 #
 #   Energy       stp_col      stp_rad      stp_tot
 #    (keV)     (eV cm**2/g) (eV cm**2/g) (eV cm**2/g)
 #----------------------------------------------------
   4.12328E+03  1.49796E+06  9.60484E+04  1.59401E+06
   4.48675E+03  1.50656E+06  1.06374E+05  1.61293E+06
   4.88225E+03  1.51520E+06  1.17807E+05  1.63300E+06
   5.31262E+03  1.52385E+06  1.30476E+05  1.65432E+06
   5.78093E+03  1.53249E+06  1.44498E+05  1.67699E+06
   6.29051E+03  1.54112E+06  1.59990E+05  1.70111E+06
   6.84502E+03  1.54972E+06  1.77086E+05  1.72681E+06
   7.44841E+03  1.55829E+06  1.95948E+05  1.75424E+06
   8.10498E+03  1.56683E+06  2.16756E+05  1.78359E+06
   8.81943E+03  1.57534E+06  2.39706E+05  1.81504E+06
   9.59686E+03  1.58381E+06  2.65006E+05  1.84881E+06
   1.04428E+04  1.59224E+06  2.92882E+05  1.88512E+06
   1.13634E+04  1.60064E+06  3.23579E+05  1.92421E+06
   1.23650E+04  1.60900E+06  3.57363E+05  1.96636E+06
   1.34550E+04  1.61732E+06  3.94521E+05  2.01184E+06
   1.46411E+04  1.62561E+06  4.35364E+05  2.06097E+06
   1.59317E+04  1.63386E+06  4.80230E+05  2.11409E+06
   1.73360E+04  1.64207E+06  5.29499E+05  2.17156E+06
   1.88642E+04  1.65024E+06  5.83598E+05  2.23383E+06
   2.05271E+04  1.65836E+06  6.42996E+05  2.30136E+06
   2.23365E+04  1.66644E+06  7.08197E+05  2.37464E+06
   2.43055E+04  1.67448E+06  7.79721E+05  2.45420E+06
   2.64480E+04  1.68246E+06  8.58128E+05  2.54059E+06
   2.87794E+04  1.69038E+06  9.44019E+05  2.63440E+06
   3.13163E+04  1.69824E+06  1.03804E+06  2.73628E+06
   3.40768E+04  1.70604E+06  1.14094E+06  2.84697E+06
   3.70807E+04  1.71376E+06  1.25360E+06  2.96736E+06
   4.03493E+04  1.72141E+06  1.37703E+06  3.09844E+06
