 # PENELOPE >>>  Photon cross sections (xs).
 #
 #   Energy        xs_Ra        xs_Co        xs_ph        xs_pp       xs_tot
 #    (keV)       (cm**2)      (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #------------------------------------------------------------------------------
   4.00000E+00  5.79885E-23  2.98359E-24  1.60862E-20  1.00000E-35  1.61472E-20
   4.50000E+00  5.36303E-23  3.22160E-24  1.15739E-20  1.00000E-35  1.16308E-20
   5.00000E+00  4.96859E-23  3.44456E-24  8.60599E-21  1.00000E-35  8.65912E-21
   6.00000E+00  4.28069E-23  3.84789E-24  5.11510E-21  1.00000E-35  5.16175E-21
   7.00000E+00  3.70210E-23  4.19784E-24  3.27590E-21  1.00000E-35  3.31712E-21
   8.00000E+00  3.21734E-23  4.50191E-24  2.21709E-21  1.00000E-35  2.25377E-21
   9.00000E+00  2.80657E-23  4.76424E-24  1.56527E-21  1.00000E-35  1.59810E-21
   1.00000E+01  2.46256E-23  4.99422E-24  1.14493E-21  1.00000E-35  1.17455E-21
   1.25000E+01  1.81640E-23  5.45441E-24  5.85412E-22  1.00000E-35  6.09030E-22
   1.50000E+01  1.38540E-23  5.79554E-24  3.36369E-22  1.00000E-35  3.56019E-22
   1.75000E+01  1.10305E-23  6.05362E-24  2.09585E-22  1.00000E-35  2.26669E-22
   2.00000E+01  9.06539E-24  6.25176E-24  1.38662E-22  1.00000E-35  1.53979E-22
   2.23607E+01  7.67712E-24  6.39495E-24  9.80740E-23  1.00000E-35  1.12146E-22
   2.50000E+01  6.48187E-24  6.51797E-24  6.92008E-23  1.00000E-35  8.22006E-23
   3.00000E+01  4.87783E-24  6.67311E-24  3.90445E-23  1.00000E-35  5.05954E-23
   3.50000E+01  3.80273E-24  6.75679E-24  2.39657E-23  1.00000E-35  3.45252E-23
   4.00000E+01  3.04560E-24  6.79528E-24  1.56849E-23  1.00000E-35  2.55258E-23
   4.50000E+01  2.49092E-24  6.80051E-24  1.07680E-23  1.00000E-35  2.00594E-23
   5.00000E+01  2.07394E-24  6.78528E-24  7.69099E-24  1.00000E-35  1.65502E-23
   6.00000E+01  1.50011E-24  6.71336E-24  4.28119E-24  1.00000E-35  1.24947E-23
   7.00000E+01  1.13430E-24  6.60968E-24  2.60577E-24  1.00000E-35  1.03497E-23
   8.00000E+01  8.87498E-25  6.49291E-24  1.69336E-24  1.00000E-35  9.07377E-24
   9.00000E+01  7.13220E-25  6.37160E-24  1.15777E-24  1.00000E-35  8.24259E-24
   1.00000E+02  5.85619E-25  6.25074E-24  8.23967E-25  1.00000E-35  7.66033E-24
   1.25000E+02  3.83806E-25  5.95833E-24  4.01411E-25  1.00000E-35  6.74354E-24
   1.50000E+02  2.70579E-25  5.69326E-24  2.23653E-25  1.00000E-35  6.18749E-24
   1.62019E+02  2.33148E-25  5.57538E-24  1.74677E-25  1.00000E-35  5.98320E-24
   1.75000E+02  2.00782E-25  5.45494E-24  1.36792E-25  1.00000E-35  5.79251E-24
   2.00000E+02  1.54793E-25  5.24177E-24  8.96895E-26  1.00000E-35  5.48625E-24
   2.23607E+02  1.24415E-25  5.05979E-24  6.32813E-26  1.00000E-35  5.24748E-24
   2.50000E+02  9.99224E-26  4.87649E-24  4.48102E-26  1.00000E-35  5.02123E-24
   2.61659E+02  9.13408E-26  4.80107E-24  3.89407E-26  1.00000E-35  4.93136E-24
   2.73861E+02  8.34909E-26  4.72607E-24  3.39091E-26  1.00000E-35  4.84347E-24
   3.00000E+02  6.97330E-26  4.57569E-24  2.57381E-26  1.00000E-35  4.67116E-24
   3.24037E+02  5.98679E-26  4.44868E-24  2.04740E-26  1.00000E-35  4.52902E-24
   3.50000E+02  5.13874E-26  4.32233E-24  1.63231E-26  1.00000E-35  4.39004E-24
   3.74166E+02  4.50117E-26  4.21351E-24  1.34469E-26  1.00000E-35  4.27197E-24
   4.00000E+02  3.94225E-26  4.10561E-24  1.11226E-26  1.00000E-35  4.15615E-24
   4.24264E+02  3.50685E-26  4.01140E-24  9.42417E-27  1.00000E-35  4.05589E-24
   4.50000E+02  3.11923E-26  3.91755E-24  8.00808E-27  1.00000E-35  3.95675E-24
   5.00000E+02  2.52915E-26  3.75216E-24  6.02519E-27  1.00000E-35  3.78347E-24
   5.47723E+02  2.10913E-26  3.61110E-24  4.74631E-27  1.00000E-35  3.63694E-24
   6.00000E+02  1.75866E-26  3.47241E-24  3.76513E-27  1.00000E-35  3.49376E-24
   6.48074E+02  1.50808E-26  3.35720E-24  3.11451E-27  1.00000E-35  3.37539E-24
   7.00000E+02  1.29312E-26  3.24382E-24  2.58978E-27  1.00000E-35  3.25934E-24
   7.23762E+02  1.20977E-26  3.19497E-24  2.39290E-27  1.00000E-35  3.20946E-24
   7.48331E+02  1.13179E-26  3.14686E-24  2.21642E-27  1.00000E-35  3.16040E-24
   8.00000E+02  9.90559E-27  3.05144E-24  1.90486E-27  1.00000E-35  3.06325E-24
   8.48528E+02  8.80666E-27  2.96862E-24  1.67210E-27  1.00000E-35  2.97909E-24
   9.00000E+02  7.82950E-27  2.88712E-24  1.47396E-27  1.00000E-35  2.89642E-24
   1.00000E+03  6.34351E-27  2.74372E-24  1.18397E-27  1.00000E-35  2.75125E-24
   1.02200E+03  6.07363E-27  2.71456E-24  1.13357E-27  1.00000E-35  2.72176E-24
   1.13027E+03  4.96672E-27  2.58213E-24  9.26981E-28  1.72855E-28  2.58820E-24
   1.25000E+03  4.06147E-27  2.45341E-24  7.63250E-28  1.33453E-27  2.45957E-24
   1.36931E+03  3.38494E-27  2.34001E-24  6.44492E-28  3.80097E-27  2.34784E-24
   1.50000E+03  2.82108E-27  2.22967E-24  5.47792E-28  7.64002E-27  2.24068E-24
   1.62019E+03  2.41822E-27  2.13878E-24  4.80336E-28  1.20778E-26  2.15376E-24
   1.75000E+03  2.07290E-27  2.05013E-24  4.23019E-28  1.76725E-26  2.07030E-24
   1.87083E+03  1.81387E-27  1.97516E-24  3.79872E-28  2.34206E-26  2.00078E-24
   2.00000E+03  1.58720E-27  1.90202E-24  3.42236E-28  3.00692E-26  1.93402E-24
   2.23607E+03  1.26983E-27  1.78389E-24  2.88797E-28  4.29977E-26  1.82844E-24
   2.36435E+03  1.13580E-27  1.72664E-24  2.65671E-28  5.01701E-26  1.77821E-24
   2.50000E+03  1.01591E-27  1.67077E-24  2.45051E-28  5.79776E-26  1.73001E-24
   2.73861E+03  8.46617E-28  1.58179E-24  2.14953E-28  7.15353E-26  1.65438E-24
   3.00000E+03  7.05529E-28  1.49609E-24  1.89322E-28  8.63607E-26  1.58334E-24
   3.50000E+03  5.18365E-28  1.35890E-24  1.53745E-28  1.14353E-25  1.47393E-24
   4.00000E+03  3.96881E-28  1.24755E-24  1.29211E-28  1.40976E-25  1.38906E-24
   4.24264E+03  3.52786E-28  1.20072E-24  1.19738E-28  1.53436E-25  1.35463E-24
   4.50000E+03  3.13590E-28  1.15531E-24  1.11212E-28  1.66390E-25  1.32212E-24
   5.00000E+03  2.54010E-28  1.07714E-24  9.74862E-29  1.90257E-25  1.26775E-24
