 # PENELOPE >>>  Photelectric cross-section ceiling (ph_ceil).
 #
 #   Energy       ph_ceil
 #    (keV)       (cm**2)
 #--------------------------
   6.29051E+03  8.17596E-29
   6.29051E+03  7.39176E-29
   6.84502E+03  7.39176E-29
   6.84502E+03  6.69106E-29
   7.44841E+03  6.69106E-29
   7.44841E+03  6.06321E-29
   8.10498E+03  6.06321E-29
   8.10498E+03  5.49805E-29
   8.81943E+03  5.49805E-29
   8.81943E+03  4.99386E-29
   9.59686E+03  4.99386E-29
   9.59686E+03  4.53793E-29
   1.04428E+04  4.53793E-29
   1.04428E+04  4.12862E-29
   1.13634E+04  4.12862E-29
   1.13634E+04  3.76005E-29
   1.23650E+04  3.76005E-29
   1.23650E+04  3.42437E-29
   1.34550E+04  3.42437E-29
   1.34550E+04  3.12303E-29
   1.46411E+04  3.12303E-29
   1.46411E+04  2.84880E-29
   1.59317E+04  2.84880E-29
   1.59317E+04  2.59987E-29
   1.73360E+04  2.59987E-29
   1.73360E+04  2.37316E-29
   1.88642E+04  2.37316E-29
   1.88642E+04  2.16917E-29
   2.05271E+04  2.16917E-29
   2.05271E+04  1.98318E-29
   2.23365E+04  1.98318E-29
   2.23365E+04  1.81340E-29
   2.43055E+04  1.81340E-29
   2.43055E+04  1.65816E-29
   2.64480E+04  1.65816E-29
   2.64480E+04  1.51777E-29
   2.87794E+04  1.51777E-29
   2.87794E+04  1.38998E-29
   3.13163E+04  1.38998E-29
   3.13163E+04  1.27312E-29
   3.40768E+04  1.27312E-29
   3.40768E+04  1.16624E-29
   3.70807E+04  1.16624E-29
   3.70807E+04  1.06833E-29
   4.03493E+04  1.06833E-29
   4.03493E+04  9.78696E-30
   4.39061E+04  9.78696E-30
   4.39061E+04  8.97003E-30
   4.77764E+04  8.97003E-30
   4.77764E+04  8.22601E-30
   5.19879E+04  8.22601E-30
   5.19879E+04  7.54549E-30
   5.65706E+04  7.54549E-30
   5.65706E+04  6.92128E-30
   6.15573E+04  6.92128E-30
   6.15573E+04  6.34872E-30
   6.69835E+04  6.34872E-30
   6.69835E+04  5.82352E-30
   7.28881E+04  5.82352E-30
   7.28881E+04  5.34190E-30
   7.93132E+04  5.34190E-30
   7.93132E+04  4.90023E-30
   8.63046E+04  4.90023E-30
   8.63046E+04  4.49830E-30
   9.39123E+04  4.49830E-30
   9.39123E+04  4.12974E-30
   1.02191E+05  4.12974E-30
   1.02191E+05  3.79144E-30
   1.11199E+05  3.79144E-30
   1.11199E+05  3.48086E-30
   1.21001E+05  3.48086E-30
   1.21001E+05  3.19573E-30
   1.31667E+05  3.19573E-30
   1.31667E+05  2.93396E-30
   1.43273E+05  2.93396E-30
   1.43273E+05  2.69365E-30
   1.55903E+05  2.69365E-30
   1.55903E+05  2.47341E-30
   1.69646E+05  2.47341E-30
   1.69646E+05  2.27161E-30
   1.84600E+05  2.27161E-30
   1.84600E+05  2.08660E-30
   2.00872E+05  2.08660E-30
   2.00872E+05  1.91684E-30
   2.18579E+05  1.91684E-30
   2.18579E+05  1.76089E-30
   2.37847E+05  1.76089E-30
   2.37847E+05  1.61763E-30
   2.58813E+05  1.61763E-30
   2.58813E+05  1.48603E-30
   2.81627E+05  1.48603E-30
   2.81627E+05  1.36513E-30
   3.06453E+05  1.36513E-30
   3.06453E+05  1.25408E-30
   3.33466E+05  1.25408E-30
   3.33466E+05  1.15208E-30
   3.62861E+05  1.15208E-30
   3.62861E+05  1.05838E-30
   3.94847E+05  1.05838E-30
   3.94847E+05  9.72295E-31
   4.29653E+05  9.72295E-31
   4.29653E+05  8.93213E-31
   4.67527E+05  8.93213E-31
   4.67527E+05  8.20564E-31
   5.08739E+05  8.20564E-31
   5.08739E+05  7.53823E-31
   5.53584E+05  7.53823E-31
   5.53584E+05  6.92511E-31
   6.02383E+05  6.92511E-31
   6.02383E+05  6.36190E-31
   6.55483E+05  6.36190E-31
   6.55483E+05  5.84555E-31
   7.13263E+05  5.84555E-31
   7.13263E+05  5.37124E-31
   7.76137E+05  5.37124E-31
   7.76137E+05  4.93591E-31
   8.44553E+05  4.93591E-31
   8.44553E+05  4.53585E-31
   9.19000E+05  4.53585E-31
   9.19000E+05  4.16823E-31
   1.00001E+06  4.16823E-31
