"Storage 040622 PM - RawData - C:\Documents and Settings\photometer\Desktop\File 090429 040622 PM.spc"
"Wavelength nm.","T%"
498.50,88.078
499.00,88.135
499.50,88.184
500.00,88.225
500.50,88.307
501.00,88.411
501.50,88.470
502.00,88.545
502.50,88.657
503.00,88.728
503.50,88.806
504.00,88.904
504.50,88.982
505.00,89.059
505.50,89.163
506.00,89.246
506.50,89.331
507.00,89.415
507.50,89.507
508.00,89.592
508.50,89.651
509.00,89.766
509.50,89.850
510.00,89.911
510.50,90.033
511.00,90.144
511.50,90.221
512.00,90.277
512.50,90.347
513.00,90.471
513.50,90.565
514.00,90.631
514.50,90.732
515.00,90.810
515.50,90.871
516.00,90.932
516.50,90.997
517.00,91.060
517.50,91.124
518.00,91.196
518.50,91.261
519.00,91.306
519.50,91.371
520.00,91.496
520.50,91.570
521.00,91.602
521.50,91.676
522.00,91.734
522.50,91.760
523.00,91.818
523.50,91.870
524.00,91.902
524.50,91.946
525.00,91.982
525.50,92.018
526.00,92.073
526.50,92.134
527.00,92.189
527.50,92.212
528.00,92.218
528.50,92.247
529.00,92.296
529.50,92.320
530.00,92.339
530.50,92.358
531.00,92.363
531.50,92.387
532.00,92.398
532.50,92.409
533.00,92.412
533.50,92.407
534.00,92.432
534.50,92.462
535.00,92.455
535.50,92.418
536.00,92.392
536.50,92.374
537.00,92.384
537.50,92.392
538.00,92.363
538.50,92.336
539.00,92.320
539.50,92.293
540.00,92.256
540.50,92.210
541.00,92.188
541.50,92.159
542.00,92.122
542.50,92.079
543.00,92.052
543.50,92.044
544.00,92.009
544.50,91.949
545.00,91.916
545.50,91.870
546.00,91.791
546.50,91.745
547.00,91.695
547.50,91.667
548.00,91.588
548.50,91.510
549.00,91.476
549.50,91.402
550.00,91.315
550.50,91.255
551.00,91.223
551.50,91.205
552.00,91.168
552.50,91.106
553.00,91.042
553.50,90.976
554.00,90.889
554.50,90.820
555.00,90.765
555.50,90.715
556.00,90.662
556.50,90.570
557.00,90.518
557.50,90.477
558.00,90.392
558.50,90.308
559.00,90.262
559.50,90.211
560.00,90.117
560.50,90.057
561.00,89.999
561.50,89.922
562.00,89.864
562.50,89.799
563.00,89.742
563.50,89.667
564.00,89.612
564.50,89.529
565.00,89.458
565.50,89.407
566.00,89.330
566.50,89.284
567.00,89.267
567.50,89.217
568.00,89.137
568.50,89.049
569.00,88.991
569.50,88.940
570.00,88.863
570.50,88.800
571.00,88.753
571.50,88.696
572.00,88.626
572.50,88.593
573.00,88.562
573.50,88.496
574.00,88.441
574.50,88.376
575.00,88.301
575.50,88.264
576.00,88.229
576.50,88.197
577.00,88.164
577.50,88.165
578.00,88.155
578.50,88.089
579.00,88.023
579.50,87.968
580.00,87.938
580.50,87.904
581.00,87.863
581.50,87.819
582.00,87.823
582.50,87.813
583.00,87.758
583.50,87.752
584.00,87.756
