"Storage 011951 PM - RawData - C:\Users\Kyung\Feb102011\UV\File 110210 011951 PM.spc"
"Wavelength nm.","T%"
461.50,87.65869
462.00,87.78381
462.50,87.92572
463.00,88.08594
463.50,88.24768
464.00,88.41400
464.50,88.40485
465.00,88.48114
465.50,88.49945
466.00,88.69324
466.50,88.74969
467.00,88.96790
467.50,89.13574
468.00,89.16779
468.50,89.28528
469.00,89.33716
469.50,89.51111
470.00,89.53400
470.50,89.68353
471.00,89.88953
471.50,89.87427
472.00,90.04822
472.50,90.04059
473.00,90.12299
473.50,90.16571
474.00,90.28320
474.50,90.29694
475.00,90.44037
475.50,90.58228
476.00,90.51056
476.50,90.58228
477.00,90.61890
477.50,90.78217
478.00,90.82794
478.50,91.01715
479.00,91.02936
479.50,91.05988
480.00,91.05988
480.50,91.12244
481.00,91.24603
481.50,91.27045
482.00,91.34369
482.50,91.33301
483.00,91.41693
483.50,91.54968
484.00,91.55884
484.50,91.60614
485.00,91.62598
485.50,91.57410
486.00,91.68243
486.50,91.70685
487.00,91.80145
487.50,91.80145
488.00,91.74652
488.50,91.77704
489.00,91.79840
489.50,91.84113
490.00,91.91437
490.50,91.83197
491.00,91.90674
491.50,91.87164
492.00,91.91742
492.50,91.98303
493.00,92.01355
493.50,92.04102
494.00,92.02423
494.50,91.98151
495.00,91.98151
495.50,92.00287
496.00,92.07764
496.50,91.98303
497.00,91.93420
497.50,91.84418
498.00,91.87775
498.50,91.94336
499.00,91.94336
499.50,92.02118
500.00,91.89453
500.50,91.88385
501.00,91.92352
501.50,91.87164
502.00,91.85638
502.50,91.79993
503.00,91.81976
503.50,91.77094
504.00,91.77856
504.50,91.76025
505.00,91.75415
505.50,91.66107
506.00,91.60461
506.50,91.70074
507.00,91.67023
507.50,91.59088
508.00,91.56799
508.50,91.47949
509.00,91.35284
509.50,91.40778
510.00,91.38794
510.50,91.42303
511.00,91.36047
511.50,91.29181
512.00,91.23383
512.50,91.22162
513.00,91.16211
513.50,90.99426
514.00,91.03546
514.50,91.00647
515.00,91.02020
515.50,90.99884
516.00,90.93170
516.50,90.73944
517.00,90.72418
517.50,90.69519
518.00,90.68146
518.50,90.60974
519.00,90.52734
519.50,90.57312
520.00,90.42206
520.50,90.36102
521.00,90.41290
521.50,90.35034
522.00,90.29541
522.50,90.27557
523.00,90.16266
523.50,90.01312
524.00,90.03601
524.50,89.95667
525.00,90.04822
525.50,89.78729
526.00,89.72015
526.50,89.66370
527.00,89.56451
527.50,89.51721
528.00,89.46075
528.50,89.32648
529.00,89.34937
529.50,89.21356
530.00,89.20593
530.50,89.26086
531.00,89.16016
531.50,89.04877
532.00,88.98773
532.50,88.78937
533.00,88.68256
533.50,88.64899
534.00,88.55286
534.50,88.56049
535.00,88.39417
535.50,88.39264
536.00,88.36670
536.50,88.15002
537.00,88.11188
537.50,88.08441
538.00,87.99744
538.50,88.02185
539.00,87.86469
539.50,87.73651
540.00,87.65259
540.50,87.59003
541.00,87.52136
541.50,87.42828
542.00,87.28333
542.50,87.25891
543.00,87.13684
543.50,87.04071
544.00,87.05750
544.50,87.02240
545.00,86.82709
545.50,86.77826
546.00,86.68060
546.50,86.53564
547.00,86.55853
547.50,86.42426
548.00,86.41357
548.50,86.30676
549.00,86.23199
549.50,86.11755
550.00,86.12061
550.50,86.05042
551.00,85.92682
551.50,85.82916
552.00,85.79102
552.50,85.72693
553.00,85.59875
553.50,85.47211
554.00,85.39734
554.50,85.43243
555.00,85.34241
555.50,85.20966
556.00,85.17151
556.50,85.13641
557.00,84.98535
557.50,84.99603
558.00,84.85107
558.50,84.84497
559.00,84.64508
559.50,84.62067
560.00,84.56879
560.50,84.50165
561.00,84.48486
