"Storage 010818 PM - RawData - C:\Users\Celal\File 110210 010818 PM.spc"
"Wavelength nm.","T%"
472.00,84.96857
472.50,84.96857
473.00,84.84039
473.50,84.79309
474.00,84.73206
474.50,84.73969
475.00,84.70001
475.50,84.70917
476.00,84.56116
476.50,84.55353
477.00,84.50470
477.50,84.46350
478.00,84.55811
478.50,84.48029
479.00,84.53979
479.50,84.32770
480.00,84.34296
480.50,84.31549
481.00,84.33380
481.50,84.16595
482.00,84.20563
482.50,84.20715
483.00,84.26819
483.50,84.19189
484.00,84.20868
484.50,84.16138
485.00,84.20563
485.50,84.09882
486.00,84.03473
486.50,84.04541
487.00,84.02100
487.50,84.10339
488.00,84.10034
488.50,84.05457
489.00,84.08661
489.50,84.05914
490.00,83.99200
490.50,83.87146
491.00,83.96912
491.50,83.90961
492.00,83.91113
492.50,83.92181
493.00,83.99963
493.50,83.92181
494.00,83.93555
494.50,83.98743
495.00,83.98743
495.50,83.92792
496.00,83.92792
496.50,84.03015
497.00,83.95386
497.50,83.98743
498.00,83.94928
498.50,83.92944
499.00,84.00726
499.50,84.02405
500.00,83.98590
500.50,83.96149
501.00,84.00116
501.50,84.01184
502.00,84.04236
502.50,84.01489
503.00,84.03625
503.50,84.14459
504.00,84.08203
504.50,84.06982
505.00,84.15680
505.50,84.26514
506.00,84.29565
506.50,84.26208
507.00,84.30328
507.50,84.35211
508.00,84.34448
508.50,84.32312
509.00,84.32922
509.50,84.41925
510.00,84.45740
510.50,84.51843
511.00,84.53979
511.50,84.55505
512.00,84.62219
512.50,84.69391
513.00,84.62524
513.50,84.60999
514.00,84.79004
514.50,84.80682
515.00,84.91821
515.50,84.95636
516.00,84.85107
516.50,84.85260
517.00,84.89838
517.50,85.01740
518.00,85.03265
518.50,85.05249
519.00,85.10437
519.50,85.14252
520.00,85.17151
520.50,85.28900
521.00,85.27374
521.50,85.48431
522.00,85.44159
522.50,85.49652
523.00,85.42023
523.50,85.53467
524.00,85.51331
524.50,85.64453
525.00,85.66742
525.50,85.71014
526.00,85.71625
526.50,85.80322
527.00,85.86426
527.50,85.84290
528.00,85.86273
528.50,85.96649
529.00,85.96649
529.50,86.00159
530.00,86.07941
530.50,86.20453
531.00,86.20300
531.50,86.34796
532.00,86.31287
532.50,86.31134
533.00,86.27319
533.50,86.46240
534.00,86.42731
534.50,86.59668
535.00,86.74469
535.50,86.75537
536.00,86.71265
536.50,86.78589
537.00,86.79199
537.50,86.85760
538.00,86.90338
538.50,86.99799
539.00,87.07581
539.50,87.21466
540.00,87.15973
540.50,87.21313
541.00,87.21466
541.50,87.31384
542.00,87.38708
542.50,87.49542
543.00,87.48932
543.50,87.55493
544.00,87.62817
544.50,87.68005
545.00,87.71057
545.50,87.74719
546.00,87.83112
546.50,87.75024
547.00,87.91351
547.50,88.02490
548.00,88.06915
548.50,88.09967
549.00,88.17596
549.50,88.24158
550.00,88.24005
550.50,88.33008
551.00,88.43079
551.50,88.45978
552.00,88.48724
552.50,88.58032
553.00,88.57880
553.50,88.62000
554.00,88.76495
554.50,88.74664
555.00,88.81226
555.50,88.86108
556.00,88.92975
556.50,88.82446
557.00,88.95111
557.50,89.03656
558.00,89.09149
558.50,89.10980
559.00,89.18915
559.50,89.16931
560.00,89.18304
